DATE,DEXCHUS
2011-06-09,6.4757
2011-06-10,6.4801
2011-06-13,6.4830
2011-06-14,6.4794
2011-06-15,6.4820
2011-06-16,6.4746
2011-06-17,6.4700
2011-06-20,6.4720
2011-06-21,6.4650
2011-06-22,6.4628
2011-06-23,6.4676
2011-06-24,6.4737
2011-06-27,6.4815
2011-06-28,6.4699
2011-06-29,6.4633
2011-06-30,6.4635
2011-07-01,6.4645
2011-07-04,.
2011-07-05,6.4660
2011-07-06,6.4670
2011-07-07,6.4655
2011-07-08,6.4645
2011-07-11,6.4671
2011-07-12,6.4720
2011-07-13,6.4675
2011-07-14,6.4590
2011-07-15,6.4610
2011-07-18,6.4688
2011-07-19,6.4631
2011-07-20,6.4581
2011-07-21,6.4535
2011-07-22,6.4464
2011-07-25,6.4450
2011-07-26,6.4411
2011-07-27,6.4428
2011-07-28,6.4418
2011-07-29,6.4360
2011-08-01,6.4337
2011-08-02,6.4379
2011-08-03,6.4340
2011-08-04,6.4377
2011-08-05,6.4401
2011-08-08,6.4342
2011-08-09,6.4304
2011-08-10,6.4172
2011-08-11,6.3935
2011-08-12,6.3892
2011-08-15,6.3902
2011-08-16,6.3818
2011-08-17,6.3839
2011-08-18,6.3873
2011-08-19,6.3910
2011-08-22,6.4004
2011-08-23,6.3975
2011-08-24,6.3880
2011-08-25,6.3900
2011-08-26,6.3860
2011-08-29,6.3809
2011-08-30,6.3802
2011-08-31,6.3778
2011-09-01,6.3812
2011-09-02,6.3821
2011-09-05,.
2011-09-06,6.3901
2011-09-07,6.3940
2011-09-08,6.3833
2011-09-09,6.3880
2011-09-12,6.3877
2011-09-13,6.3970
2011-09-14,6.3910
2011-09-15,6.3904
2011-09-16,6.3833
2011-09-19,6.3864
2011-09-20,6.3837
2011-09-21,6.3811
2011-09-22,6.3879
2011-09-23,6.3877
2011-09-26,6.3975
2011-09-27,6.3975
2011-09-28,6.3933
2011-09-29,6.3964
2011-09-30,6.3780
2011-10-03,6.3745
2011-10-04,6.3745
2011-10-05,6.3745
2011-10-06,6.3780
2011-10-07,6.3745
2011-10-10,.
2011-10-11,6.3745
2011-10-12,6.3580
2011-10-13,6.3820
2011-10-14,6.3780
2011-10-17,6.3695
2011-10-18,6.3804
2011-10-19,6.3769
2011-10-20,6.3825
2011-10-21,6.3823
2011-10-24,6.3744
2011-10-25,6.3605
2011-10-26,6.3534
2011-10-27,6.3590
2011-10-28,6.3570
2011-10-31,6.3547
2011-11-01,6.3547
2011-11-02,6.3550
2011-11-03,6.3513
2011-11-04,6.3400
2011-11-07,6.3481
2011-11-08,6.3462
2011-11-09,6.3401
2011-11-10,6.3454
2011-11-11,.
2011-11-14,6.3536
2011-11-15,6.3464
2011-11-16,6.3445
2011-11-17,6.3505
2011-11-18,6.3565
2011-11-21,6.3603
2011-11-22,6.3605
2011-11-23,6.3576
2011-11-24,.
2011-11-25,6.3802
2011-11-28,6.3839
2011-11-29,6.3769
2011-11-30,6.3765
2011-12-01,6.3655
2011-12-02,6.3596
2011-12-05,6.3629
2011-12-06,6.3645
2011-12-07,6.3642
2011-12-08,6.3618
2011-12-09,6.3641
2011-12-12,6.3604
2011-12-13,6.3648
2011-12-14,6.3710
2011-12-15,6.3733
2011-12-16,6.3479
2011-12-19,6.3376
2011-12-20,6.3459
2011-12-21,6.3386
2011-12-22,6.3392
2011-12-23,6.3364
2011-12-26,.
2011-12-27,6.3210
2011-12-28,6.3211
2011-12-29,6.3187
2011-12-30,6.2939
2012-01-02,.
2012-01-03,6.2940
2012-01-04,6.2941
2012-01-05,6.3013
2012-01-06,6.3088
2012-01-09,6.3143
2012-01-10,6.3141
2012-01-11,6.3149
2012-01-12,6.3177
2012-01-13,6.3065
2012-01-16,.
2012-01-17,6.3136
2012-01-18,6.3109
2012-01-19,6.3162
2012-01-20,6.3330
2012-01-23,6.3330
2012-01-24,6.3330
2012-01-25,6.3330
2012-01-26,6.3330
2012-01-27,6.3330
2012-01-30,6.3310
2012-01-31,6.3080
2012-02-01,6.3076
2012-02-02,6.3017
2012-02-03,6.3027
2012-02-06,6.3120
2012-02-07,6.3046
2012-02-08,6.2938
2012-02-09,6.2947
2012-02-10,6.2991
2012-02-13,6.2972
2012-02-14,6.2995
2012-02-15,6.2998
2012-02-16,6.3014
2012-02-17,6.2985
2012-02-20,.
2012-02-21,6.2960
2012-02-22,6.2960
2012-02-23,6.2980
2012-02-24,6.2976
2012-02-27,6.3012
2012-02-28,6.2989
2012-02-29,6.2935
2012-03-01,6.3001
2012-03-02,6.2982
2012-03-05,6.3066
2012-03-06,6.3082
2012-03-07,6.3097
2012-03-08,6.3159
2012-03-09,6.3109
2012-03-12,6.3258
2012-03-13,6.3266
2012-03-14,6.3315
2012-03-15,6.3282
2012-03-16,6.3222
2012-03-19,6.3191
2012-03-20,6.3203
2012-03-21,6.3226
2012-03-22,6.2990
2012-03-23,6.3021
2012-03-26,6.3139
2012-03-27,6.3061
2012-03-28,6.3044
2012-03-29,6.3057
2012-03-30,6.2975
2012-04-02,6.2979
2012-04-03,6.2975
2012-04-04,6.2975
2012-04-05,6.3123
2012-04-06,6.3052
2012-04-09,6.3100
2012-04-10,6.3105
2012-04-11,6.3076
2012-04-12,6.3069
2012-04-13,6.3022
2012-04-16,6.3150
2012-04-17,6.3015
2012-04-18,6.3026
2012-04-19,6.3029
2012-04-20,6.3080
2012-04-23,6.3084
2012-04-24,6.3073
2012-04-25,6.3039
2012-04-26,6.3054
2012-04-27,6.3093
2012-04-30,6.2790
2012-05-01,6.3089
2012-05-02,6.3070
2012-05-03,6.3052
2012-05-04,6.3059
2012-05-07,6.3074
2012-05-08,6.3076
2012-05-09,6.3096
2012-05-10,6.3140
2012-05-11,6.3097
2012-05-14,6.3210
2012-05-15,6.3176
2012-05-16,6.3227
2012-05-17,6.3247
2012-05-18,6.3245
2012-05-21,6.3277
2012-05-22,6.3223
2012-05-23,6.3343
2012-05-24,6.3449
2012-05-25,6.3439
2012-05-28,.
2012-05-29,6.3478
2012-05-30,6.3574
2012-05-31,6.3684
2012-06-01,6.3692
2012-06-04,6.3641
2012-06-05,6.3670
2012-06-06,6.3634
2012-06-07,6.3634
2012-06-08,6.3700
2012-06-11,6.3690
2012-06-12,6.3703
2012-06-13,6.3685
2012-06-14,6.3702
2012-06-15,6.3649
2012-06-18,6.3539
2012-06-19,6.3542
2012-06-20,6.3597
2012-06-21,6.3644
2012-06-22,6.3644
2012-06-25,6.3631
2012-06-26,6.3626
2012-06-27,6.3561
2012-06-28,6.3570
2012-06-29,6.3530
2012-07-02,6.3487
2012-07-03,6.3519
2012-07-04,.
2012-07-05,6.3557
2012-07-06,6.3640
2012-07-09,6.3709
2012-07-10,6.3654
2012-07-11,6.3682
2012-07-12,6.3732
2012-07-13,6.3789
2012-07-16,6.3784
2012-07-17,6.3725
2012-07-18,6.3690
2012-07-19,6.3724
2012-07-20,6.3734
2012-07-23,6.3856
2012-07-24,6.3857
2012-07-25,6.3879
2012-07-26,6.3839
2012-07-27,6.3807
2012-07-30,6.3792
2012-07-31,6.3610
2012-08-01,6.3680
2012-08-02,6.3671
2012-08-03,6.3721
2012-08-06,6.3738
2012-08-07,6.3664
2012-08-08,6.3610
2012-08-09,6.3579
2012-08-10,6.3599
2012-08-13,6.3611
2012-08-14,6.3586
2012-08-15,6.3619
2012-08-16,6.3659
2012-08-17,6.3580
2012-08-20,6.3592
2012-08-21,6.3559
2012-08-22,6.3515
2012-08-23,6.3535
2012-08-24,6.3542
2012-08-27,6.3558
2012-08-28,6.3525
2012-08-29,6.3513
2012-08-30,6.3494
2012-08-31,6.3484
2012-09-03,.
2012-09-04,6.3465
2012-09-05,6.3489
2012-09-06,6.3428
2012-09-07,6.3428
2012-09-10,6.3375
2012-09-11,6.3349
2012-09-12,6.3261
2012-09-13,6.3294
2012-09-14,6.3145
2012-09-17,6.3170
2012-09-18,6.3187
2012-09-19,6.3091
2012-09-20,6.3036
2012-09-21,6.3051
2012-09-24,6.3090
2012-09-25,6.3057
2012-09-26,6.3015
2012-09-27,6.3021
2012-09-28,6.2848
2012-10-01,6.2840
2012-10-02,6.2840
2012-10-03,6.2840
2012-10-04,6.2840
2012-10-05,6.2840
2012-10-08,.
2012-10-09,6.2877
2012-10-10,6.2831
2012-10-11,6.2765
2012-10-12,6.2670
2012-10-15,6.2700
2012-10-16,6.2637
2012-10-17,6.2540
2012-10-18,6.2501
2012-10-19,6.2533
2012-10-22,6.2543
2012-10-23,6.2478
2012-10-24,6.2478
2012-10-25,6.2416
2012-10-26,6.2480
2012-10-29,6.2384
2012-10-30,6.2396
2012-10-31,6.2372
2012-11-01,6.2393
2012-11-02,6.2411
2012-11-05,6.2452
2012-11-06,6.2454
2012-11-07,6.2435
2012-11-08,6.2427
2012-11-09,6.2450
2012-11-12,.
2012-11-13,6.2260
2012-11-14,6.2250
2012-11-15,6.2329
2012-11-16,6.2354
2012-11-19,6.2343
2012-11-20,6.2324
2012-11-21,6.2300
2012-11-22,.
2012-11-23,6.2275
2012-11-26,6.2253
2012-11-27,6.2221
2012-11-28,6.2273
2012-11-29,6.2281
2012-11-30,6.2265
2012-12-03,6.2277
2012-12-04,6.2254
2012-12-05,6.2251
2012-12-06,6.2282
2012-12-07,6.2299
2012-12-10,6.2296
2012-12-11,6.2460
2012-12-12,6.2502
2012-12-13,6.2316
2012-12-14,6.2410
2012-12-17,6.2360
2012-12-18,6.2322
2012-12-19,6.2293
2012-12-20,6.2297
2012-12-21,6.2284
2012-12-24,6.2335
2012-12-25,.
2012-12-26,6.2351
2012-12-27,6.2358
2012-12-28,6.2315
2012-12-31,6.2301
2013-01-01,.
2013-01-02,6.2301
2013-01-03,6.2301
2013-01-04,6.2303
2013-01-07,6.2294
2013-01-08,6.2235
2013-01-09,6.2260
2013-01-10,6.2230
2013-01-11,6.2156
2013-01-14,6.2190
2013-01-15,6.2134
2013-01-16,6.2160
2013-01-17,6.2158
2013-01-18,6.2152
2013-01-21,.
2013-01-22,6.2196
2013-01-23,6.2178
2013-01-24,6.2179
2013-01-25,6.2203
2013-01-28,6.2240
2013-01-29,6.2259
2013-01-30,6.2204
2013-01-31,6.2186
2013-02-01,6.2265
2013-02-04,6.2326
2013-02-05,6.2292
2013-02-06,6.2315
2013-02-07,6.2323
2013-02-08,6.2323
2013-02-11,6.2323
2013-02-12,6.2323
2013-02-13,6.2323
2013-02-14,6.2323
2013-02-15,6.2323
2013-02-18,.
2013-02-19,6.2438
2013-02-20,6.2371
2013-02-21,6.2403
2013-02-22,6.2346
2013-02-25,6.2337
2013-02-26,6.2293
2013-02-27,6.2271
2013-02-28,6.2213
2013-03-01,6.2226
2013-03-04,6.2246
2013-03-05,6.2208
2013-03-06,6.2173
2013-03-07,6.2200
2013-03-08,6.2145
2013-03-11,6.2179
2013-03-12,6.2160
2013-03-13,6.2137
2013-03-14,6.2145
2013-03-15,6.2133
2013-03-18,6.2156
2013-03-19,6.2154
2013-03-20,6.2117
2013-03-21,6.2141
2013-03-22,6.2120
2013-03-25,6.2105
2013-03-26,6.2108
2013-03-27,6.2138
2013-03-28,6.2143
2013-03-29,6.2108
2013-04-01,6.2078
2013-04-02,6.1992
2013-04-03,6.1962
2013-04-04,6.2005
2013-04-05,6.2005
2013-04-08,6.2031
2013-04-09,6.2022
2013-04-10,6.1938
2013-04-11,6.1961
2013-04-12,6.1914
2013-04-15,6.1866
2013-04-16,6.1824
2013-04-17,6.1720
2013-04-18,6.1811
2013-04-19,6.1772
2013-04-22,6.1823
2013-04-23,6.1790
2013-04-24,6.1782
2013-04-25,6.1707
2013-04-26,6.1647
2013-04-29,6.1647
2013-04-30,6.1647
2013-05-01,6.1647
2013-05-02,6.1560
2013-05-03,6.1555
2013-05-06,6.1665
2013-05-07,6.1539
2013-05-08,6.1410
2013-05-09,6.1306
2013-05-10,6.1415
2013-05-13,6.1465
2013-05-14,6.1426
2013-05-15,6.1454
2013-05-16,6.1487
2013-05-17,6.1410
2013-05-20,6.1386
2013-05-21,6.1353
2013-05-22,6.1309
2013-05-23,6.1337
2013-05-24,6.1311
2013-05-27,.
2013-05-28,6.1213
2013-05-29,6.1264
2013-05-30,6.1307
2013-05-31,6.1340
2013-06-03,6.1312
2013-06-04,6.1285
2013-06-05,6.1276
2013-06-06,6.1359
2013-06-07,6.1333
2013-06-10,6.1333
2013-06-11,6.1333
2013-06-12,6.1333
2013-06-13,6.1341
2013-06-14,6.1306
2013-06-17,6.1248
2013-06-18,6.1283
2013-06-19,6.1264
2013-06-20,6.1277
2013-06-21,6.1328
2013-06-24,6.1441
2013-06-25,6.1448
2013-06-26,6.1468
2013-06-27,6.1488
2013-06-28,6.1374
2013-07-01,6.1325
2013-07-02,6.1327
2013-07-03,6.1301
2013-07-04,.
2013-07-05,6.1324
2013-07-08,6.1337
2013-07-09,6.1293
2013-07-10,6.1336
2013-07-11,6.1350
2013-07-12,6.1373
2013-07-15,6.1373
2013-07-16,6.1345
2013-07-17,6.1351
2013-07-18,6.1408
2013-07-19,6.1377
2013-07-22,6.1404
2013-07-23,6.1369
